molecular_type,mir_135b_tumor,mir_135b_plasma,mir_145_tumor,mir_145_plasma,miR_195b_tumor,miR_195b_plasma,mir_331_tumor,mir_331_plasma
her_super_expresso,1.3328,1.1646,0.6588,0.7789,1.5755,2.0439,1.692,1.5038
her_super_expresso,1.1864,1.1696,0.6588,0.779,1.5838,2.0452,1.8047,1.3786
her_super_expresso,1.3328,1.1646,0.6661,0.777,1.5755,1.6072,1.692,1.5038
her_super_expresso,1.2405,1.1575,0.6203,0.7708,1.5888,1.6208,2.2335,2.0329
her_super_expresso,1.3482,1.1696,0.6684,0.7556,1.5693,1.6009,1.6978,1.5078
her_super_expresso,1.1934,1.1577,0.6933,0.7744,1.6192,1.6517,1.8398,1.3978
her_super_expresso,1.286,1.1581,0.6931,0.7445,1.5675,1.599,2.3517,2.1405
her_super_expresso,1.2807,1.1579,0.6932,0.771,1.6422,1.6752,2.2501,2.049
her_super_expresso,1.2871,1.1611,0.6933,0.8135,1.5679,1.5994,1.6959,1.5069
her_super_expresso,1.2863,1.1635,0.7568,0.8145,1.2102,1.1706,1.6946,1.506
her_super_expresso,1.2888,1.1625,0.7568,0.8178,1.633,1.5796,1.6985,1.5068
her_super_expresso,1.2803,1.1674,0.757,0.877,1.6136,1.5609,2.3285,2.1167
her_super_expresso,1.2888,1.1606,0.7567,0.8557,1.633,1.5796,1.6985,1.5068
her_super_expresso,1.2871,1.1646,0.7885,0.8138,1.703,1.7829,2.3195,2.1075
her_super_expresso,1.2863,1.1644,0.7886,0.8197,1.3098,1.6092,2.3295,2.1166
her_super_expresso,1.2888,1.1575,0.7883,0.822,1.7674,2.1713,2.3298,2.1167
her_super_expresso,1.2918,1.1656,0.7318,0.8197,1.7255,2.1198,1.7032,1.4683
her_super_expresso,1.2888,1.1696,0.7318,0.7784,1.7674,2.1713,1.6985,1.5068
her_super_expresso,1.2841,1.1695,0.6548,0.7772,1.7631,2.1661,1.6913,1.4939
her_super_expresso,1.2871,1.1605,0.6547,0.7735,1.8161,2.2312,1.6959,1.4977
her_super_expresso,1.2871,1.1687,0.6461,0.7792,1.1878,2.5572,2.3862,2.1446
her_super_expresso,1.2909,1.157,0.646,0.7764,1.7764,2.1824,2.3285,2.1166
her_super_expresso,1.2813,1.1577,0.6461,0.7754,1.8124,2.2266,1.6869,1.5078
her_super_expresso,1.2813,1.1585,0.6458,0.7777,1.7266,2.35,1.6869,1.5078
her_super_expresso,1.2813,1.1615,0.6458,0.7499,1.8662,2.2266,1.6869,1.5078
her_super_expresso,1.2918,1.1686,0.6646,0.7399,1.8161,2.2312,1.7032,1.4592
her_super_expresso,1.2893,1.169,0.6646,0.773,1.8936,2.4824,1.6993,1.4967
her_super_expresso,1.2903,1.1655,0.6612,0.7191,1.8956,2.485,1.7009,1.4568
her_super_expresso,1.2891,1.1602,0.6605,0.7791,1.8895,2.4771,2.1663,1.9718
triplo_negativo,2.0248,1.9197,0.6648,0.939,1.7249,2.2613,2.1987,1.9959
triplo_negativo,1.8024,2.1208,0.6647,0.939,1.754,2.2995,2.4518,2.2805
triplo_negativo,1.8024,2.7424,0.6647,1.0244,1.7494,2.2934,2.4518,2.2804
triplo_negativo,2.0244,1.9668,0.6647,1.0242,1.5105,1.9801,2.385,2.1906
triplo_negativo,1.8024,1.9663,0.6647,1.0245,1.7226,2.2582,2.4518,2.2805
triplo_negativo,1.8056,1.9666,0.6648,0.9039,1.5408,2.0199,1.2568,1.1688
